blockKey,total,went,rate,smoothedRate,meetsMinSample
"Tied | H1 Early | YTG 61-70 | Dist 3-5",1330,60,0.0451,0.0488,true
"Tied | H1 Early | YTG 71-80 | Dist 6-8",1240,30,0.0242,0.0286,true
"Tied | H1 Early | YTG 51-60 | Dist 3-5",1038,54,0.0520,0.0565,true
"Tied | H1 Early | YTG 51-60 | Dist 6-8",927,19,0.0205,0.0265,true
"Tied | H1 Early | YTG 41-50 | Dist 3-5",890,152,0.1708,0.1721,true
"Tied | H1 Early | YTG 61-70 | Dist 6-8",855,40,0.0468,0.0524,true
"Tied | H1 Early | YTG 41-50 | Dist 6-8",831,35,0.0421,0.0480,true
"Tied | H1 Early | YTG 71-80 | Dist 3-5",798,25,0.0313,0.0379,true
"Tied | H1 Early | YTG 71-80 | Dist 9-10",730,8,0.0110,0.0189,true
"Tied | H1 Early | YTG 31-40 | Dist 3-5",715,351,0.4909,0.4797,true
"Behind 15+ | H2 Early | YTG 71-80 | Dist 6-8",710,40,0.0563,0.0626,true
"Behind 15+ | H2 Early | YTG 61-70 | Dist 3-5",694,57,0.0821,0.0875,true
"Behind 15+ | H2 Mid | YTG 71-80 | Dist 6-8",659,71,0.1077,0.1123,true
"Behind 15+ | H2 Mid | YTG 61-70 | Dist 3-5",658,152,0.2310,0.2302,true
"Tied | H1 Early | YTG 31-40 | Dist 6-8",646,195,0.3019,0.2979,true
"Behind 6-8 | H1 Early | YTG 71-80 | Dist 6-8",623,12,0.0193,0.0281,true
"Tied | H1 Early | YTG 71-80 | Dist 11-14",611,5,0.0082,0.0177,true
"Tied | H1 Early | YTG 61-70 | Dist 1",597,167,0.2797,0.2765,true
"Tied | H1 Early | YTG 61-70 | Dist 11-14",568,6,0.0106,0.0207,true
"Behind 6-8 | H1 Early | YTG 61-70 | Dist 3-5",552,20,0.0362,0.0453,true
"Ahead 3-5 | H1 Early | YTG 1-10 | Dist 3-5",548,8,0.0146,0.0248,true
"Tied | H1 Early | YTG 21-30 | Dist 3-5",536,196,0.3657,0.3575,true
"Tied | H1 Early | YTG 61-70 | Dist 9-10",522,12,0.0230,0.0332,true
"Tied | H1 Early | YTG 51-60 | Dist 1",516,264,0.5116,0.4952,true
"Tied | H1 Early | YTG 51-60 | Dist 9-10",494,11,0.0223,0.0331,true
"Behind 15+ | H2 Mid | YTG 71-80 | Dist 9-10",488,36,0.0738,0.0818,true
"Behind 15+ | H2 Early | YTG 71-80 | Dist 9-10",478,17,0.0356,0.0460,true
"Behind 15+ | H2 Mid | YTG 51-60 | Dist 3-5",473,206,0.4355,0.4222,true
"Tied | H1 Early | YTG 41-50 | Dist 1",465,335,0.7204,0.6896,true
"Behind 15+ | H2 Mid | YTG 61-70 | Dist 6-8",463,90,0.1944,0.1954,true
"Tied | H1 Early | YTG 41-50 | Dist 9-10",454,6,0.0132,0.0255,true
"Tied | H1 Early | YTG 51-60 | Dist 11-14",454,4,0.0088,0.0214,true
"Tied | H1 Early | YTG 21-30 | Dist 6-8",451,77,0.1707,0.1733,true
"Tied | H1 Early | YTG 31-40 | Dist 1",443,360,0.8126,0.7745,true
"Ahead 15+ | H2 Mid | YTG 1-10 | Dist 3-5",438,106,0.2420,0.2401,true
"Behind 15+ | H2 Early | YTG 51-60 | Dist 3-5",438,90,0.2055,0.2059,true
"Behind 15+ | H2 Mid | YTG 51-60 | Dist 6-8",438,132,0.3014,0.2956,true
"Behind 9-14 | H1 Mid | YTG 61-70 | Dist 3-5",425,41,0.0965,0.1041,true
"Behind 15+ | H2 Mid | YTG 41-50 | Dist 3-5",418,288,0.6890,0.6570,true
"Behind 15+ | H2 Mid | YTG 71-80 | Dist 11-14",416,23,0.0553,0.0658,true
"Behind 15+ | H2 Early | YTG 71-80 | Dist 11-14",406,13,0.0320,0.0444,true
"Behind 15+ | H2 Early | YTG 61-70 | Dist 6-8",405,33,0.0815,0.0905,true
"Tied | H1 Early | YTG 81-90 | Dist 11-14",401,5,0.0125,0.0263,true
"Behind 6-8 | H1 Early | YTG 51-60 | Dist 3-5",400,19,0.0475,0.0590,true
"Tied | H1 Early | YTG 81-90 | Dist 15-20",398,6,0.0151,0.0289,true
"Behind 15+ | H2 Mid | YTG 71-80 | Dist 3-5",397,65,0.1637,0.1671,true
"Behind 15+ | H1 Mid | YTG 71-80 | Dist 6-8",397,7,0.0176,0.0313,true
"Behind 15+ | H2 Mid | YTG 41-50 | Dist 6-8",396,194,0.4899,0.4703,true
"Ahead 3-5 | H1 Early | YTG 1-10 | Dist 6-8",395,1,0.0025,0.0173,true
"Behind 15+ | H2 Early | YTG 51-60 | Dist 6-8",392,46,0.1173,0.1241,true
"Behind 9-14 | H1 Mid | YTG 71-80 | Dist 6-8",391,9,0.0230,0.0365,true
"Ahead 3-5 | H1 Early | YTG 11-20 | Dist 6-8",388,1,0.0026,0.0176,true
"Behind 6-8 | H1 Early | YTG 71-80 | Dist 9-10",380,5,0.0132,0.0277,true
"Behind 15+ | H2 Mid | YTG 31-40 | Dist 3-5",375,300,0.8000,0.7564,true
"Ahead 15+ | H2 Mid | YTG 21-30 | Dist 3-5",374,159,0.4251,0.4093,true
"Tied | H1 Early | YTG 71-80 | Dist 1",373,63,0.1689,0.1721,true
"Ahead 3-5 | H1 Early | YTG 11-20 | Dist 3-5",373,4,0.0107,0.0257,true
"Tied | H1 Early | YTG 41-50 | Dist 11-14",372,7,0.0188,0.0332,true
"Tied | H1 Early | YTG 61-70 | Dist 2",371,32,0.0863,0.0956,true
"Behind 15+ | H2 Mid | YTG 61-70 | Dist 9-10",371,59,0.1590,0.1630,true
"Behind 15+ | H2 Early | YTG 71-80 | Dist 3-5",367,33,0.0899,0.0991,true
"Tied | H1 Early | YTG 71-80 | Dist 15-20",363,4,0.0110,0.0263,true
"Behind 15+ | H2 Early | YTG 41-50 | Dist 3-5",362,145,0.4006,0.3861,true
"Ahead 15+ | H2 Mid | YTG 31-40 | Dist 3-5",359,206,0.5738,0.5459,true
"Ahead 15+ | H2 Mid | YTG 61-70 | Dist 3-5",358,12,0.0335,0.0473,true
"Ahead 15+ | H2 Mid | YTG 21-30 | Dist 6-8",358,78,0.2179,0.2174,true
"Ahead 15+ | H2 Mid | YTG 51-60 | Dist 3-5",354,18,0.0508,0.0634,true
"Ahead 15+ | H2 Mid | YTG 51-60 | Dist 6-8",354,9,0.0254,0.0400,true
"Ahead 15+ | H2 Mid | YTG 41-50 | Dist 6-8",353,27,0.0765,0.0871,true
"Behind 6-8 | H1 Early | YTG 61-70 | Dist 6-8",348,9,0.0259,0.0406,true
"Ahead 15+ | H2 Mid | YTG 41-50 | Dist 3-5",343,42,0.1224,0.1296,true
"Tied | H1 Early | YTG 51-60 | Dist 2",341,50,0.1466,0.1519,true
"Ahead 15+ | H2 Mid | YTG 11-20 | Dist 3-5",340,91,0.2676,0.2631,true
"Behind 15+ | H2 Early | YTG 81-90 | Dist 15-20",340,7,0.0206,0.0361,true
"Behind 15+ | H1 Mid | YTG 61-70 | Dist 3-5",338,22,0.0651,0.0770,true
"Ahead 15+ | H2 Early | YTG 1-10 | Dist 3-5",334,41,0.1228,0.1301,true
"Tied | H1 Early | YTG 31-40 | Dist 9-10",333,52,0.1562,0.1608,true
"Behind 15+ | H2 Mid | YTG 21-30 | Dist 3-5",330,238,0.7212,0.6788,true
"Behind 9-14 | H1 Mid | YTG 51-60 | Dist 3-5",327,27,0.0826,0.0934,true
"Ahead 15+ | H2 Early | YTG 61-70 | Dist 3-5",324,17,0.0525,0.0660,true
